category,count,category_1,category_2,category_3,people
Present Day,330,Present Day,,,
Time Travel,56,Time Travel,,,
Sandy Hook Investigation,44,Sandy Hook Investigation,,,
Project Camelot,34,Project Camelot,Wacky Wednesday,,
Tea Party Investigation,33,Tea Party Investigation,,,
2015 Investigation,22,2015 Investigation,,,
Special report,7,Special Edition,,,
Jim Bakker,7,Wacky Wednesday,,,Jim Bakker
Jordan Takes the Wheel,7,Jordan Takes the Wheel,,,
Bill Cooper,6,Wacky Wednesday,,,Bill Cooper
2016 Retrospective,5,2016 Investigation,,,
Endgame,5,Documentary,,,
Obama Deception,5,Documentary,,,
present Day,4,Present Day,,,
Formulaic Objections,4,Formulaic Objections,,,
Joe Rogan,3,Special Edition,,,Joe Rogan
Press Conference,2,Present Day,,,
Megyn Kelly Interview,2,InfoWars Interview,,,Megyn Kelly
Mike Rotondo,2,InfoWars Interview,Present Day,,
Celebrity Appearance,2,InfoWars Interview,,,
Coach Dave,2,Wacky Wednesday,,,Coach Dave
LIONEL,2,Wacky Wednesday,,,Lionel
Kevin Moore,2,Wacky Wednesday,,,Kevin Moore
2016 Election,2,2016 Investigation,,,
Caravan,2,Present Day,,,
Nick Fuentes,2,Deep Dive,,,Nick Fuentes
Reset Wars,2,Special Edition,,,
Pilot,1,Present Day,,,
Y2K,1,Time Travel,,,
Alex Background,1,Deep Dive,,,
Inauguration Speech,1,Present Day,,,
Present Day/Dennis Montgomery,1,Present Day,Deep Dive,,Dennis Montgomery
How Not to Cover Alex,1,Deep Dive,,,
30 Hour Marathon,1,Special Edition,,,
Pizzagate,1,Deep Dive,,,
Bohemian Grove,1,Deep Dive,,,
Protocols Of The Elders Of Zion,1,Deep Dive,,,
Alex on Russian Media,1,Deep Dive,,,
Drunk Special Report,1,Present Day,,,
Piers Morgan Interview,1,InfoWars Interview,,,Piers Morgan
David Rothschild,1,InfoWars Interview,,,David Rothschild
David Lynch,1,InfoWars Interview,,,David Lynch
Minisode,1,InfoWars Interview,,,
Operation Paul Revere,1,Present Day,,,
Post Tribulation Rapture,1,Deep Dive,,,
Wikileaks Press Conference,1,Time Travel,,,
St Patrick's Day Special Report,1,Special Edition,,,
Charlie Sheen,1,InfoWars Interview,,,Charlie Sheen
Aaron Russo,1,InfoWars Interview,,,Aaron Russo
WWE's Kane,1,InfoWars Interview,,,
Bill Ayers,1,InfoWars Interview,,,Bill Ayers
Live Show,1,Time Travel,Live Show,,
tea Party Investigation,1,Tea Party Investigation,,,
Roger Stone,1,Time Travel,,,Roger Stone
Jim Bakker Time Travel,1,Time Travel,Wacky Wednesday,,Jim Bakker
Jared Holt Bonus Episode,1,Knowledge Fight Interview,,,Jared Holt
project Camelot,1,Project Camelot,Wacky Wednesday,,
Hotel Interview,1,Special Edition,,,
Kavanaugh Confirmation Live Stream,1,Present Day,,,
Glenn Beck's George Soros Expose,1,Time Travel,,,Glenn Beck
Old Alex Clips,1,Time Travel,,,
Reverend Manning,1,Deep Dive,,,Reverend James Manning
Coach Dave/ Larry Nichols,1,Wacky Wednesday,,,Larry Nichols; Coach Dave
Alex AMA,1,Special Edition,Present Day,,
Present Day/LIONEL,1,Present Day,Wacky Wednesday,,Lionel
Stefan Molyneux,1,Deep Dive,,,
Qanon Anonymous Crossover,1,Wacky Wednesday,Knowledge Fight Interview,,
Bilderberg Speeches,1,Wacky Wednesday,Time Travel,,
Steve Pieczenik,1,Deep Dive,,,Steve Pieczenik
Present Day/Stefan Molyneux,1,Present Day,,,Stefan Molyneux
Coast to Coast,1,Wacky Wednesday,,,
Grab Bag Minisode; Bill Cooper,1,Present Day,,Wacky Wednesday,Bill Cooper
Ghosts of Caucuses Past,1,Time Travel,,,
Robert David Steele,1,Wacky Wednesday,,,Robert David Steele
CPAC,1,Present Day,,,
Super Alpha Male Championship,1,Present Day,,,
Donk's Dojo,1,Wacky Wednesday,Present Day,,
Millie Weaver - Shadowgate,1,Documentary,,,Millie Weaver
Howard Hughes,1,Project Camelot,Wacky Wednesday,,Howard Hughes
Debate coverage,1,Present Day,,,
Joe Rogan on InfoWars,1,Present Day,InfoWars Interview,,Joe Rogan
12/12 Rallies,1,Present Day,,,
XMAS Report Rebuttal,1,Special Edition,Present Day,,
Inauguration,1,Present Day,,,
Present Day/ Stevie P Faces the Music,1,Present Day,,,Steve Pieczenik
Commercials,1,Special Edition,Present Day,,
Noam Chomsky,1,InfoWars Interview,,,Noam Chomsky
Sandy Hook Response,1,Formulaic Objections,,,
Mike Rothschild,1,Knowledge Fight Interview,,,Mike Rothschild
Spooktacular,1,Special Edition,,,
Patriot Purge,1,Documentary,,,
Jon Ronson,1,Knowledge Fight Interview,,,Jon Ronson
Andew Torrez,1,Knowledge Fight Interview,,,Andew Torrez
Stewart Rhodes,1,Present Day,InfoWars Interview,,Stewart Rhodes